Time,H2,H4
1.7960276e+00,3.3373333e-01,1.4766667e-01
1.7970346e+00,3.3353333e-01,1.4753333e-01
1.7980415e+00,3.3346667e-01,1.4753333e-01
1.7990227e+00,3.3320000e-01,1.4746667e-01
1.8000297e+00,3.3306667e-01,1.4740000e-01
1.8010366e+00,3.3286667e-01,1.4733333e-01
1.8020178e+00,3.3226667e-01,1.4720000e-01
1.8030248e+00,3.3113333e-01,1.4700000e-01
1.8040318e+00,3.3006667e-01,1.4686667e-01
1.8050387e+00,3.2900000e-01,1.4680000e-01
1.8060199e+00,3.2773333e-01,1.4673333e-01
1.8070269e+00,3.2646667e-01,1.4660000e-01
1.8080338e+00,3.2540000e-01,1.4646667e-01
1.8090408e+00,3.2506667e-01,1.4620000e-01
1.8100220e+00,3.2533333e-01,1.4626667e-01
1.8110289e+00,3.2540000e-01,1.4633333e-01
1.8120359e+00,3.2453333e-01,1.4620000e-01
1.8130171e+00,3.2380000e-01,1.4600000e-01
1.8140240e+00,3.2426667e-01,1.4593333e-01
1.8150310e+00,3.2493333e-01,1.4593333e-01
1.8160380e+00,3.2526667e-01,1.4586667e-01
1.8170192e+00,3.2553333e-01,1.4580000e-01
1.8180261e+00,3.2586667e-01,1.4573333e-01
1.8190331e+00,3.2586667e-01,1.4546667e-01
1.8200401e+00,3.2580000e-01,1.4526667e-01
1.8210212e+00,3.2600000e-01,1.4520000e-01
1.8220282e+00,3.2613333e-01,1.4520000e-01
1.8230352e+00,3.2566667e-01,1.4513333e-01
1.8240422e+00,3.2480000e-01,1.4500000e-01
1.8250233e+00,3.2426667e-01,1.4480000e-01
1.8260303e+00,3.2346667e-01,1.4460000e-01
1.8270373e+00,3.2226667e-01,1.4453333e-01
1.8280184e+00,3.2133333e-01,1.4460000e-01
1.8290254e+00,3.2060000e-01,1.4453333e-01
1.8300324e+00,3.1960000e-01,1.4413333e-01
1.8310394e+00,3.1873333e-01,1.4386667e-01
1.8320205e+00,3.1853333e-01,1.4386667e-01
1.8330275e+00,3.1840000e-01,1.4400000e-01
1.8340345e+00,3.1793333e-01,1.4413333e-01
1.8350414e+00,3.1706667e-01,1.4393333e-01
1.8360226e+00,3.1613333e-01,1.4373333e-01
1.8370296e+00,3.1526667e-01,1.4346667e-01
1.8380365e+00,3.1460000e-01,1.4333333e-01
1.8390177e+00,3.1386667e-01,1.4346667e-01
1.8400247e+00,3.1260000e-01,1.4353333e-01
1.8410317e+00,3.1133333e-01,1.4340000e-01
1.8420386e+00,3.1060000e-01,1.4320000e-01
1.8430198e+00,3.0993333e-01,1.4286667e-01
1.8440268e+00,3.0853333e-01,1.4266667e-01
1.8450337e+00,3.0680000e-01,1.4266667e-01
1.8460407e+00,3.0506667e-01,1.4260000e-01
1.8470219e+00,3.0353333e-01,1.4240000e-01
1.8480288e+00,3.0293333e-01,1.4220000e-01
1.8490358e+00,3.0306667e-01,1.4206667e-01
1.8500170e+00,3.0326667e-01,1.4206667e-01
1.8510240e+00,3.0326667e-01,1.4206667e-01
1.8520309e+00,3.0340000e-01,1.4200000e-01
1.8530379e+00,3.0346667e-01,1.4186667e-01
1.8540191e+00,3.0380000e-01,1.4160000e-01
1.8550260e+00,3.0446667e-01,1.4153333e-01
1.8560330e+00,3.0473333e-01,1.4160000e-01
1.8570400e+00,3.0460000e-01,1.4153333e-01
1.8580211e+00,3.0480000e-01,1.4140000e-01
1.8590281e+00,3.0560000e-01,1.4120000e-01
1.8600351e+00,3.0586667e-01,1.4093333e-01
1.8610421e+00,3.0526667e-01,1.4093333e-01
1.8620232e+00,3.0493333e-01,1.4106667e-01
1.8630302e+00,3.0513333e-01,1.4106667e-01
1.8640372e+00,3.0526667e-01,1.4106667e-01
1.8650183e+00,3.0560000e-01,1.4086667e-01
1.8660253e+00,3.0566667e-01,1.4066667e-01
1.8670323e+00,3.0486667e-01,1.4053333e-01
1.8680393e+00,3.0426667e-01,1.4053333e-01
1.8690204e+00,3.0473333e-01,1.4060000e-01
1.8700274e+00,3.0493333e-01,1.4053333e-01
1.8710344e+00,3.0406667e-01,1.4033333e-01
1.8720413e+00,3.0286667e-01,1.4006667e-01
1.8730225e+00,3.0180000e-01,1.3986667e-01
1.8740295e+00,3.0066667e-01,1.3986667e-01
1.8750364e+00,2.9966667e-01,1.3986667e-01
1.8760176e+00,2.9986667e-01,1.3986667e-01
1.8770246e+00,3.0133333e-01,1.3973333e-01
1.8780316e+00,3.0220000e-01,1.3960000e-01
1.8790385e+00,3.0213333e-01,1.3926667e-01
1.8800197e+00,3.0193333e-01,1.3913333e-01
1.8810267e+00,3.0186667e-01,1.3906667e-01
1.8820336e+00,3.0186667e-01,1.3900000e-01
1.8830406e+00,3.0193333e-01,1.3886667e-01
1.8840218e+00,3.0193333e-01,1.3880000e-01
1.8850287e+00,3.0206667e-01,1.3873333e-01
1.8860357e+00,3.0200000e-01,1.3873333e-01
1.8870169e+00,3.0146667e-01,1.3866667e-01
1.8880239e+00,3.0033333e-01,1.3853333e-01
1.8890308e+00,2.9840000e-01,1.3846667e-01
1.8900378e+00,2.9626667e-01,1.3840000e-01
1.8910190e+00,2.9486667e-01,1.3846667e-01
1.8920259e+00,2.9413333e-01,1.3840000e-01
1.8930329e+00,2.9346667e-01,1.3826667e-01
1.8940399e+00,2.9246667e-01,1.3820000e-01
1.8950210e+00,2.9113333e-01,1.3813333e-01
1.8960280e+00,2.8893333e-01,1.3813333e-01
1.8970350e+00,2.8620000e-01,1.3800000e-01
1.8980420e+00,2.8506667e-01,1.3793333e-01
1.8990231e+00,2.8646667e-01,1.3780000e-01
1.9000301e+00,2.8840000e-01,1.3766667e-01
1.9010371e+00,2.8906667e-01,1.3760000e-01
1.9020182e+00,2.8926667e-01,1.3753333e-01
1.9030252e+00,2.8953333e-01,1.3753333e-01
1.9040322e+00,2.8946667e-01,1.3753333e-01
1.9050392e+00,2.8933333e-01,1.3733333e-01
1.9060203e+00,2.8913333e-01,1.3706667e-01
1.9070273e+00,2.8880000e-01,1.3680000e-01
1.9080343e+00,2.8860000e-01,1.3660000e-01
1.9090412e+00,2.8826667e-01,1.3666667e-01
1.9100224e+00,2.8793333e-01,1.3673333e-01
1.9110294e+00,2.8806667e-01,1.3666667e-01
1.9120363e+00,2.8853333e-01,1.3653333e-01
1.9130175e+00,2.8900000e-01,1.3640000e-01
1.9140245e+00,2.8940000e-01,1.3620000e-01
1.9150315e+00,2.8986667e-01,1.3613333e-01
1.9160384e+00,2.9060000e-01,1.3626667e-01
1.9170196e+00,2.9173333e-01,1.3640000e-01
1.9180266e+00,2.9306667e-01,1.3633333e-01
1.9190335e+00,2.9406667e-01,1.3620000e-01
1.9200405e+00,2.9473333e-01,1.3613333e-01
1.9210217e+00,2.9520000e-01,1.3620000e-01
1.9220286e+00,2.9506667e-01,1.3620000e-01
1.9230356e+00,2.9426667e-01,1.3613333e-01
1.9240426e+00,2.9340000e-01,1.3600000e-01
1.9250238e+00,2.9273333e-01,1.3586667e-01
1.9260307e+00,2.9180000e-01,1.3580000e-01
1.9270377e+00,2.9073333e-01,1.3566667e-01
1.9280189e+00,2.8946667e-01,1.3560000e-01
1.9290258e+00,2.8820000e-01,1.3540000e-01
1.9300328e+00,2.8693333e-01,1.3520000e-01
1.9310398e+00,2.8586667e-01,1.3506667e-01
1.9320209e+00,2.8466667e-01,1.3506667e-01
1.9330279e+00,2.8400000e-01,1.3500000e-01
1.9340349e+00,2.8453333e-01,1.3486667e-01
1.9350419e+00,2.8573333e-01,1.3460000e-01
1.9360230e+00,2.8653333e-01,1.3446667e-01
1.9370300e+00,2.8680000e-01,1.3446667e-01
1.9380370e+00,2.8706667e-01,1.3453333e-01
1.9390181e+00,2.8806667e-01,1.3453333e-01
1.9400251e+00,2.8946667e-01,1.3440000e-01
1.9410321e+00,2.9060000e-01,1.3420000e-01
1.9420391e+00,2.9140000e-01,1.3393333e-01
1.9430202e+00,2.9180000e-01,1.3386667e-01
1.9440272e+00,2.9233333e-01,1.3406667e-01
1.9450342e+00,2.9266667e-01,1.3413333e-01
1.9460411e+00,2.9293333e-01,1.3400000e-01
1.9470223e+00,2.9300000e-01,1.3380000e-01
1.9480293e+00,2.9280000e-01,1.3366667e-01
1.9490362e+00,2.9313333e-01,1.3373333e-01
1.9500174e+00,2.9446667e-01,1.3386667e-01
1.9510244e+00,2.9606667e-01,1.3386667e-01
1.9520314e+00,2.9706667e-01,1.3386667e-01
1.9530383e+00,2.9726667e-01,1.3366667e-01
1.9540195e+00,2.9726667e-01,1.3346667e-01
1.9550265e+00,2.9740000e-01,1.3340000e-01
1.9560334e+00,2.9773333e-01,1.3333333e-01
1.9570404e+00,2.9780000e-01,1.3320000e-01
1.9580216e+00,2.9740000e-01,1.3313333e-01
1.9590285e+00,2.9706667e-01,1.3306667e-01
1.9600355e+00,2.9720000e-01,1.3280000e-01
1.9610425e+00,2.9713333e-01,1.3266667e-01
1.9620237e+00,2.9620000e-01,1.3266667e-01
1.9630306e+00,2.9433333e-01,1.3246667e-01
1.9640376e+00,2.9193333e-01,1.3226667e-01
1.9650188e+00,2.8913333e-01,1.3220000e-01
1.9660257e+00,2.8693333e-01,1.3206667e-01
1.9670327e+00,2.8526667e-01,1.3200000e-01
1.9680397e+00,2.8380000e-01,1.3186667e-01
1.9690208e+00,2.8293333e-01,1.3166667e-01
1.9700278e+00,2.8293333e-01,1.3160000e-01
1.9710348e+00,2.8313333e-01,1.3173333e-01
1.9720418e+00,2.8300000e-01,1.3180000e-01
1.9730229e+00,2.8260000e-01,1.3173333e-01
1.9740299e+00,2.8213333e-01,1.3166667e-01
1.9750369e+00,2.8200000e-01,1.3153333e-01
1.9760180e+00,2.8206667e-01,1.3146667e-01
1.9770250e+00,2.8200000e-01,1.3133333e-01
1.9780320e+00,2.8186667e-01,1.3133333e-01
1.9790390e+00,2.8153333e-01,1.3140000e-01
